kausi;lohko;nimi;O;M;S;P;J;VM;YV;AV;RL-;RL+;SR;TV;H;TM;IM
2013-2014;IV-DIV;Sami Pöllänen;10;2;3;5;2;2;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Tuukka Mettälä;11;3;9;12;2;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Aki Kuntonen;2;0;0;0;0;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Henrik Lehtonen;8;9;3;12;0;-;1;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Ville Suominen;3;0;0;0;0;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Jori Murto;4;1;1;2;0;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Matias Mäkilä;6;1;0;1;4;-;-;-;-;-;-;-;-;-;
2012-2013;V-DIV;Niko Nynäs;12;5;2;7;2;2;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Timo Suominen;10;2;0;2;0;-;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Samuli Sutinen;17;4;6;10;2;-;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Esa Saarnio;10;5;3;8;2;-;-;-;-;-;-;-;1;;
2012-2013;V-DIV;Kaj Engblom;11;7;27;34;4;1;-;-;1;1;-;-;-;;
2012-2013;V-DIV;Juuso Helander;13;5;3;8;4;-;-;-;-;-;1;-;1;;
2012-2013;V-DIV;Matti Salonen;15;23;5;28;63;3;-;1;-;-;-;1;3;;
2012-2013;V-DIV;Mauri Kurri;13;2;1;3;6;1;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Mika Aaltonen;12;12;3;15;0;2;1;1;-;-;-;-;2;;
2012-2013;V-DIV;Sampo Suvitie;7;0;0;0;2;-;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Lasse Saarnio;17;9;15;24;2;1;-;-;-;-;-;-;1;;
2012-2013;V-DIV;Sampsa Leinonen;11;1;6;7;2;-;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Aki Kuntonen;7;4;2;6;0;-;1;-;-;-;-;-;-;;
2012-2013;V-DIV;Henrik Lehtonen;15;8;2;10;0;1;2;-;-;-;-;-;1;;
2012-2013;V-DIV;Jussi Uusi-Mikkola;15;3;6;9;0;-;-;-;-;-;-;-;-;;
2012-2013;V-DIV;Jori Murto;7;4;1;5;0;-;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Niko Nynäs;18;2;5;7;2;1;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Jaakko Toivola;16;5;5;10;0;-;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Kaj Engblom;17;18;16;34;56;1;1;2;1;1;1;1;-;;
2011-2012;IV-DIV;Mika Javanainen;16;2;2;4;2;-;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Juuso Helander;16;7;5;12;2;1;-;-;-;-;-;-;1;;
2011-2012;IV-DIV;Matti Salonen;17;3;3;6;41;-;1;-;-;-;-;-;-;;
2011-2012;IV-DIV;Mauri Kurri;17;3;5;8;14;-;1;-;-;-;-;-;-;;
2011-2012;IV-DIV;Mika Aaltonen;16;11;7;18;2;1;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Sampo Suvitie;14;0;4;4;0;-;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Lasse Saarnio;17;8;5;13;6;1;-;-;-;-;1;1;-;;
2011-2012;IV-DIV;Sampsa Leinonen;13;2;2;4;33;1;-;-;-;-;-;-;-;;
2011-2012;IV-DIV;Jori Murto;18;9;2;11;2;1;2;-;-;-;-;-;-;;
2011-2012;IV-DIV;Matias Mäkilä;14;0;0;0;0;-;-;-;-;-;-;-;-;;
