Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,SekTa,,,,TILASTOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pelaajat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KAUSI 2024-2025,III-DIV - LR LOHKO A,,,,PELAAJAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,M,S,P,J,VM,YV,AV,RL-,RL+,SR,TV,H,TM,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.7836477987421384,4.214285714285714,424,88,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KAUSI 2023-2024,IV-DIV - LR LOHKO A,,,,PELAAJAT,,,,,,,,,,,,,,KAUSI 2023-2024,III-DIV - Karsinnat,,,,PELAAJAT,,,,,,,,,,,,,,KAUSI 2023-2024,IV-DIV + KARS,,,,PELAAJAT,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,M,S,P,J,VM,YV,AV,RL-,RL+,SR,TV,H,TM,IM,,,,,O,M,S,P,J,VM,YV,AV,RL-,RL+,SR,TV,H,TM,IM,,,,,O,M,S,P,J,VM,YV,AV,RL-,RL+,SR,TV,H,TM,IM
,Niko Nynäs,17,1,4,5,1,0,0,0,0,0,0,0,0,0,0,,,,Niko Nynäs,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Niko Nynäs,21,2,4,6,1,0,0,0,0,0,0,0,0,0,0
,Mika Ahven,20,0,2,2,1,0,0,0,0,0,0,0,0,0,0,,,,Mika Ahven,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Mika Ahven,24,0,2,2,1,0,0,0,0,0,0,0,0,0,0
,Olli-Pekka Vehviläinen,20,3,3,6,0,1,0,0,0,0,0,0,0,1,0,,,,Olli-Pekka Vehviläinen,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,Olli-Pekka Vehviläinen,24,4,3,7,1,2,0,0,0,0,0,0,0,1,0
,Joni Vainio,18,6,3,9,0,1,0,0,0,0,0,0,0,0,0,,,,Joni Vainio,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Joni Vainio,21,6,3,9,0,1,0,0,0,0,0,0,0,0,0
,Akseli Nykänen,18,4,12,16,1,1,0,0,0,0,0,0,0,0,0,,,,Akseli Nykänen,4,5,1,6,0,0,0,0,0,0,0,0,1,0,0,,,,Akseli Nykänen,22,9,13,22,1,1,0,0,0,0,0,0,1,0,0
,Matias Virta,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Matias Virta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Matias Virta,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mika Aaltonen,20,22,8,30,0,3,0,0,0,0,0,0,3,0,0,,,,Mika Aaltonen,4,5,2,7,0,0,0,0,0,0,0,0,1,0,0,,,,Mika Aaltonen,24,27,10,37,0,3,0,0,0,0,0,0,4,0,0
,Veikka Saarinen,12,15,4,19,0,1,0,0,0,0,1,1,2,0,0,,,,Veikka Saarinen,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,Veikka Saarinen,16,16,5,21,0,1,0,0,0,0,1,1,2,0,0
,Petri Vikman,18,7,17,24,2,1,0,0,0,0,0,0,0,0,0,,,,Petri Vikman,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,,,,Petri Vikman,22,8,18,26,2,2,0,0,0,0,0,0,0,0,0
,Ville Mäenranta,20,5,4,9,5,2,0,0,0,0,0,0,0,0,0,,,,Ville Mäenranta,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ville Mäenranta,24,5,4,9,5,2,0,0,0,0,0,0,0,0,0
